feasible,instance,model,seed,SRTimeOut,SRTime,solverMemOut,solverTimeOut,solverTime,solverNodeOut,nNodes,sat,cmd,md5checksum
1,inst-200-123,model,0,0,8.991,0,0,39.7005,0,673219,yes,../wrapper.py 200 200 123 random -n_templates_middle 33 -n_templates_delta 14 -n_slots_middle 17 -n_slots_delta 1 -n_variations_middle 30 -n_variations_delta 4 -demand_range_middle 37 -demand_range_delta 7,dc8b8acaa3a7df49bffa8bc69882d3cf
1,inst-201-123,model,0,0,12.761,0,0,86.4864,0,1070529,yes,../wrapper.py 201 201 123 random -n_templates_middle 32 -n_templates_delta 3 -n_slots_middle 13 -n_slots_delta 20 -n_variations_middle 41 -n_variations_delta 1 -demand_range_middle 44 -demand_range_delta 3,a2d144077d8eaa65d19ad8ed73de40f3
1,inst-202-123,model,0,0,9.148,0,0,44.5532,0,753241,yes,../wrapper.py 202 202 123 random -n_templates_middle 31 -n_templates_delta 11 -n_slots_middle 28 -n_slots_delta 18 -n_variations_middle 24 -n_variations_delta 24 -demand_range_middle 50 -demand_range_delta 10,0d3f455970485747d29ee6bbe9b8e1e3
1,inst-204-123,model,0,0,10.323,0,0,56.1456,0,833870,yes,../wrapper.py 204 204 123 random -n_templates_middle 24 -n_templates_delta 21 -n_slots_middle 30 -n_slots_delta 4 -n_variations_middle 31 -n_variations_delta 22 -demand_range_middle 40 -demand_range_delta 13,69132bb4a7fdab248d6c6c99b07bb908
1,inst-208-123,model,0,0,8.11,0,0,18.4965,0,320596,yes,../wrapper.py 208 208 123 random -n_templates_middle 7 -n_templates_delta 22 -n_slots_middle 4 -n_slots_delta 19 -n_variations_middle 43 -n_variations_delta 0 -demand_range_middle 14 -demand_range_delta 16,217042f63c06af23ab487b6b669f200c
1,inst-209-123,model,0,0,10.413,0,0,79.211,0,1163165,yes,../wrapper.py 209 209 123 random -n_templates_middle 40 -n_templates_delta 10 -n_slots_middle 47 -n_slots_delta 9 -n_variations_middle 22 -n_variations_delta 7 -demand_range_middle 31 -demand_range_delta 14,bace4f0c1407c73870e98fe56e4357b1
1,inst-21-123,model,0,0,6.833,0,0,16.5045,0,430483,yes,../wrapper.py 21 21 123 random -n_templates_middle 26 -n_templates_delta 8 -n_slots_middle 33 -n_slots_delta 9 -n_variations_middle 18 -n_variations_delta 13 -demand_range_middle 37 -demand_range_delta 5,13ce05da127f8e8d2b4d14318d16efa2
1,inst-212-123,model,0,0,8.761,0,0,55.6199,0,927245,yes,../wrapper.py 212 212 123 random -n_templates_middle 38 -n_templates_delta 23 -n_slots_middle 25 -n_slots_delta 2 -n_variations_middle 13 -n_variations_delta 21 -demand_range_middle 43 -demand_range_delta 21,a61618875bb44adb04407083c55bbc9e
1,inst-213-123,model,0,0,11.31,0,0,158.379,0,1711468,yes,../wrapper.py 213 213 123 random -n_templates_middle 48 -n_templates_delta 16 -n_slots_middle 25 -n_slots_delta 4 -n_variations_middle 36 -n_variations_delta 2 -demand_range_middle 23 -demand_range_delta 24,4dff19f44f59eb6d9dd2fab15097163b
1,inst-214-123,model,0,0,10.79,0,0,42.5442,0,432880,yes,../wrapper.py 214 214 123 random -n_templates_middle 43 -n_templates_delta 17 -n_slots_middle 7 -n_slots_delta 14 -n_variations_middle 50 -n_variations_delta 15 -demand_range_middle 13 -demand_range_delta 1,9baa33789547d2e3dc5127c70047b761
